LEGEND,name,professors,description,deptLevel,distArea,rating,primaryDept
NULL,Mind and Meditation , Jonathan C. Gold , This course examines the philosophy  history  and methods of Buddhist meditation. Primary readings will be Buddhist works on the nature of the mind and the role of meditation on the path to liberation (nirvana). We will ask how traditional Buddhist views have been reshaped by modern teachers  and we will interrogate the significance of current research on meditation in the fields of neuroscience  psychology and the philosophy of mind. In addition to other coursework  students will be practicing meditation and keeping a log and journal. Some coursework in Philosophy or Religion is expected. , REL 324 , EC ,3.192,REL
NULL,Migration  Religion  and Literature: From Genesis to Toni Morrison , Leora F. Batnitzky   Ilana Pardes , Problems of mass migration are among the most pressing of our times. What does it mean to be a stranger in a strange land? What do we owe foreigners and what might foreigners owe their host nations? This course focuses on biblical depictions of strangers and migration  with particular attention to the story of Joseph  the Exodus from Egypt  and the Book of Ruth. The course explores the use of these biblical texts in modern literature  art  film  theology and political theory  with particular attention to debates about exile  acculturation  race  and gender. , REL 330 HUM 330 JDS 331 COM 382 , LA ,-1,REL
NULL,Race and Religion in America , Judith Weisenfeld , In this seminar we examine the tangled and shifting relationship between religion and race in American history. In doing so  we explore a broad landscape of racial construction  identity  and experience and consider such topics as American interpretations of race in the Bible  religion and racial slavery  race and missions  religion  race  and science  popular culture representations of racialized religion  and religiously-grounded resistance to racial hierarchy. , REL 377 AAS 376 AMS 378 , SA ,4.840000000000001,REL
NULL,Madness and the Medicalization of Religious Experience , Liane F. Carlson , This course explores a debate in the late nineteenth and earlier twentieth century about whether visions of God were religious or psychotic. By studying key moments  such as early efforts to diagnose medieval mystics as hysterics  the development of psychoanalysis  the influence of primitivism on the phenomenology of religion  and the rise of surrealism  this course will pursue the following questions. What is the nature of religious experience? How do we differentiate between religious experience and psychopathology? Who gets to determine what are authentic religious experiences and what are the gender politics behind those decision? , REL 394 , EC ,-1,REL
NULL,Jewish Ethics: Philosophy  Interpretation  Practice , Yonatan Y. Brafman , This course considers fundamental questions in Jewish ethics: What are the relationships in the Jewish tradition among ethics  law  and theology? How does Jewish ethics relate to Western philosophical ethics? What are the interpretive issues involved when traditional texts are made to address contemporary problems? In addition to conceptual and methodological concerns  the course will also inquire into several normative issues from the perspective of Jewish ethics. , REL 398 JDS 398 , EM ,-1,REL
NULL,Junior Colloquium (Non-credit) , Staff , First semester junior majors participate in a non-credit colloquium with a member or members of the faculty. In addition to short assignments throughout the term that prepare majors to research and write a junior paper (JP)  students are expected to produce a five to seven-page JP proposal. The grade for the colloquium is factored into the final grade for the junior independent work. , REL 399 , JP ,4.4,REL
NULL,Religion and the Tradition of Social Theory , Stephen F. Teiser , A critical introduction to developments in social theory that have influenced the academic study of religion  including the classic contributions of Marx  Durkheim  and Weber as well as more recent debates in anthropology and cultural theory. Required of  and designed for  first- and second-year graduate students in religion; others must receive the instructor's permission to enroll. , REL 501 ,,-1,REL
NULL,Studies in Greco-Roman Religions - Introduction to Judaism in the Greco-Roman World , Martha Himmelfarb , The goal of this course is to introduce a significant part of the literature of the Jews of Palestine and Egypt in the period from Alexander to the destruction of the Second Temple  together with a sampling of some recent scholarship on these works. The introduction is necessarily selective  and it thus reflects to some degree my interests and reoccupations  but I make an effort to give you some sense of the range of Jewish texts in the period. I hope that this breadth of coverage provides the background you need for your own work. , REL 504 ,,-1,REL
NULL,Studies in the Religions of the Americas - Religion in America to 1865 , Seth A. Perry , In this course we engage questions of approach  method  periodization  and scope in the study of religion in America through the Civil War. Texts consist of secondary literature with both classic and contemporary importance to the field  along with brief primary sources selected and presented by students. , REL 505 ,,-1,REL
NULL,Studies in the History of Islam - Legal Categories and Social Realities , Shaun E. Marmon , This seminar explores the relationship (or dissonance) between legal and social categories in the context of late Medieval Muslim societies. Some of the topics that we will cover in this context will be gender  slavery  religious minorities  ethnicity and hybridity  communal violence and concepts of transgression. Readings will include scholarly literature and Medieval Arabic texts. , REL 509 NES 510 ,,-1,REL
NULL,"Special Topics in the Study of Religion - ""God-less"": The History of Atheism in America ", Wallace D. Best ," The number of people who claim to be ""atheist"" or who claim no religion or religious affiliation has grown tremendously in the last half century. Although ""atheism"" has been a part of American history since the Colonial era  more Americans from among a vast cross section of society now claim to be ""God-less."" This course examines this trend as an aspect of American historical and religious studies. We pay particular attention to the writings of the ""New Atheists "" who have done the most to articulate the perspectives of this group and to reveal it as a crucial and increasingly important aspect of American society. ", REL 510 ,,-1,REL
NULL,Special Topics in the Study of Religion - Papyrology and Late Antique History , AnneMarie Luijendijk , This course introduces students to the tools of the discipline of papyrology. The two main components are 1. how to write history with ancient papyrus documents and 2. the material history of books (new philology). We work with a broad range of papyri  mainly in Greek  so strong knowledge of Greek is required. , REL 511 ,,-1,REL
NULL,Religion and Critical Thought Workshop , Leora F. Batnitzky , A weekly  year-long workshop focused on current student and faculty research in religion and critical thought  designed primarily for graduate students working on dissertations and general examination essays on the philosophy of religion  religious ethics  and the role of religion in politics. Note: REL 518 (fall) and REL 519 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters. , REL 518 ,,-1,REL
NULL,Religion and Culture Workshop , Albert J. Raboteau , A weekly  year-long workshop devoted to the critical discussion of research in progress in the ethnographic  historical  and normative study of religion and culture. Designed for dissertation writers receiving fellowships from the Center for the Study of Religion and post-doctoral fellows. Note: REL 521 (fall) and REL 522 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters. , REL 521 ,,-1,REL
NULL,Religion in the Americas Workshop , Seth A. Perry , A weekly  year-long workshop focused on the current research of visiting presenters  current students  and faculty in American religious history. The workshop is designed primarily for Ph.D. students in the field  but is open as well to undergraduate concentrators with a strong background in the study of American religion and culture. Note: REL 523 (fall) and REL 524 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters. , REL 523 ,,-1,REL
NULL,Religions of Late Antiquity Workshop , Elaine H. Pagels , A weekly  year-long workshop providing students in the Religions of Late Antiquity with the opportunity to present their current research for discussion. Note: REL 525 (fall) and REL 526 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters. , REL 525 ,,-1,REL
NULL,Asian Religions Workshop , Jonathan C. Gold , A weekly  year-long workshop focused on current student and faculty research in Asian religions. The course is designed primarily for graduate students working on dissertations and general examination essays. Note: REL 527 (fall) and REL 528 (spring) constitute this year-long workshop. In order to receive credit and/or a grade  students must take the course both semesters. , REL 527 ,,-1,REL
NULL,Studies in Japanese Religions - Issues in Scholarship , Jacqueline I. Stone , This seminar provides an intensive introduction to Japanese Religions past and present and examine key issues in scholarship. It is designed for those planning to take general exams  teach  or simply acquire a background in this field. Topics may include interactions of Buddhism with local religious culture; the emergence of Shinto; lay and monastic Buddhist practice; doctrinal issues; modern transformations of Buddhism; and religion-state relations. Readings are chiefly in English  supplemented by Japanese for those with sufficient language skills. Some topics may be chosen to accommodate participant research interests. , REL 534 ,,-1,REL
NULL,Beginner's Russian I , Mark R. Pettus , After learning the Russian alphabet and handwriting in just a few days  we'll continue with daily lessons using original materials - each day covering a basic aspect of Russian grammar and building incrementally. Special emphasis will be placed on learning to express your own feelings and ideas in natural  idiomatic Russian  preparing you to engage with Russian speakers and real Russian texts  and delving into Russian culture  history  music  and literature as we go  learning the language in its own unique and incredibly rich cultural context. The year will end with a sampling of Soviet prose and poetry in the original. , RUS 101 ,,4.003333333333333,RUS
NULL,Russian for Heritage Speakers , Svetlana Korshunova , This course is intended for students who have spoken Russian at home and seek to achieve proficiency in the language. Topics will include an intensive introduction to the Russian writing system and grammar  focusing on exciting materials and examples drawn from classic and contemporary Russian culture and social life. Successful completion of this course and its continuation in the spring (RUS 108) fulfills the University language requirement. , RUS 103 ,,-1,RUS
NULL,Intermediate Russian I , Mark R. Pettus , Using original textbooks that focus on the Imperial period of Russian culture by incorporating literature and paintings from the period  we will look at more advanced grammar topics  such as prefixed verbs of motion and de-verbal forms (verbal adjectives  adverbs and nouns)  that are essential for reading literary Russian. Later in the semester  we will read a selection of classical Russian poetry and prose  from such authors as Pushkin  Lermontov  Chekhov  Nekrasov  and Tolstoy. All readings will be done in the original  with extensive vocabulary and notes provided. , RUS 105 ,,4.326666666666666,RUS
NULL,Advanced Russian Reading and Conversation I , Svetlana Korshunova , A literature/language course designed to further develop speaking and reading proficiency  comprehension and writing skills through substantial expansion of vocabulary  work on sentence structure  review of selected grammar topics  discussion of the literary texts  and work with a movie. , RUS 207 ,,4.09,RUS
NULL,Russian for Academic Purposes I , Svetlana Korshunova , This course focuses instruction on skills required to perform in a Russian-speaking academic context across core subject areas of literary analysis and cultural studies. The targeted language skills - reading  writing  speaking  and listening - will be tied with the specific needs of students (e.g.  reading and writing proposals  presentations for conferences  academic articles  and correspondence). In addition  students get acquainted with various academic sub-styles and genres as well as differences in academic standards (citation  bibliography). The course includes a comprehensive review of Russian grammar and syntax. , RUS 549 ,,-1,RUS
NULL,Elementary Sanskrit I , Nataliya Yanchevskaya , An introduction to classical Sanskrit grammar and vocabulary  as well as Devanagari script  pronunciation  and phonological change (sandhi). Students will begin to read simple Sanskrit prose and verse. , SAN 101 ,,-1,SAN
NULL,Intermediate Sanskrit I , Nataliya Yanchevskaya , Strengthens classical Sanskrit grammar and vocabulary and builds knowledge of South Asian religion and culture through reading selections from Sanskrit Epics and Puranas. Requires SAN102 or permission from the instructor. , SAN 105 ,,-1,SAN
NULL,Mythology of Classical India , Nataliya Yanchevskaya , The course explores major myths and narratives of Hindu India. Through mythology and visual art we will look at Indian culture at different historical stages  and at every stage we will observe how the insiders built their relationship with the world  how they understood their place in it  their moral and religious duties  and the right organization of society. We will consider connections between myths and religious practices  social structures  historical events  and psychological and aesthetic dimensions of Indian cultural life. Reading of mythic narratives will be accompanied by analysis from selected theoretical perspectives. , SAS 332 , LA ,-1,SAS
NULL,Popular Trends in South Asian Literature , Fauzia Farooqui , This course introduces students to the richness and diversity of South Asian literature produced in vernacular languages and in English. Texts represent major themes and popular trends in the 20th and 21st century; and we discuss them in historical and literary contexts. Topics include cultural renaissance and nationalism; progressive- Marxist literary movement; modernist and experimental literature; feminist  dalit (oppressed castes)  and diaspora literature; and various postmodern and contemporary literary trends. , SAS 340 COM 322 , LA ,4.702,SAS
NULL,Islam in South Asia: Literary Perspectives , Sadaf Jaffer ," This course is a survey of Islam in the Indian subcontinent. We begin with the earliest Muslim descriptions of India and the rise of Persian poetry to understand how Muslims negotiated life at the frontiers of the Islamic world. Next we trace patterns of patronage and production at the Mughal court and the development of Urdu as a vehicle of literary composition including a discussion of the Progressive Writer's Movement and the ""Muslim Social"" genre of Hindi cinema. The course concludes with an examination of contemporary novels from Bangladesh and Pakistan. Students will gain an informed perspective on Islam beyond the headlines. ", SAS 345 REL 345 , LA ,-1,SAS
NULL,Pushkin  Gogol  Dostoevsky: Introduction to the Great Russian Novel , Michael A. Wachtel , A study in English of masterpieces of Russian literature from the late eighteenth to the mid-nineteenth century. The focus of the course is on close readings of individual works. At the same time  we will pay close attention to the way a distinctively Russian national tradition is created  in which writers consciously respond to the works of their predecessors. No previous knowledge of Russian language  history  or culture is expected. , SLA 219 RES 219 , LA ,4.198571428571429,SLA
NULL,Russian Drama , Olga P. Hasty , This course is devoted to the reading and discussion of masterpieces of 19th and 20th century Russian drama. It will also provide students with an opportunity to develop aural  oral  and written language skills. Classes are conducted entirely in Russian and all readings are to be done in the original. Students will participate in a performance project at the end of the term. , SLA 312 RES 312 , LA ,4.833333333333334,SLA
NULL,Photographic Modernisms: Russia and the West , Katherine M.H. Reischl , This course traces the history of the photographic medium from the introduction of the daguerreotype in 1839 to socially engaged documentary photography of the 1930s and beyond  questioning the notion of photography as a modernist artistic and documentary medium in Russia and the West. Central issues in the course are the role of authorship in photography and in the hybrid photo-textual spaces of print media  photography's politicization and instrumentation  and photography as a reflection of a shifting modernist vision. , SLA 509 COM 505 ,,-1,SLA
NULL,History of Emotions: Russia and the West , Ilya Vinitsky ," Do feelings have history? How do they influence history? Do ""natural"" emotions exist? How do political regimes control the emotional sincerity of their subjects? What is the role of literature in cultivating certain emotional modes? How do people interpret and express their emotions in different periods? In this course  we apply these and similar questions to the emotional history of Russian culture considered within western contexts and theoretical frameworks offered by scholars of emotions. We also try to ""resurrect"" a number of emotions which played an important role in Russian cultural history. ", SLA 510 COM 507 ,,-1,SLA
NULL,Introduction to Data Science , Yan Huang , This course provides an introduction to the burgeoning field of data science  which is primarily concerned with data-driven discovery and utilizing data as a research and technology development tool. We cover approaches and techniques for obtaining  organizing  exploring  and analyzing data  as well as creating tools based on data. Elements of statistics  machine learning  and statistical computing form the basis of the course content. We will focus on applications in the natural sciences. , SML 201 , QR ,3.9166666666666665,SML
NULL,Introduction to Sociology , Staff , This course introduces sociology as a subject with a key role to play in modern intellectual culture and a central place within the social sciences. A range of topics such as race  class  gender  deviance  ethnocentrism  crime  families  urban life  social interaction  and social inequality will be covered. Lectures are intended to inspire students to draw on their sociological imagination to become more publicly involved and directly engaged in the real world. , SOC 101 , SA ,3.9749999999999996,SOC
NULL,Urban Sociology: The City and Social Change in the Americas , Patricia Fernández-Kelly , By taking a comparative approach  this course examines the role of social  economic  and political factors in the emergence and transformation of modern cities in the United States and selected areas of Latin America. We consider the city in its dual image: both as a center of progress and as a redoubt of social problems  especially poverty. Attention is given to spatial processes that have resulted in the aggregation and desegregation of populations differentiated by social class and race. , SOC 210 LAS 210 URB 210 LAO 210 , SA ,3.525,SOC
NULL,Sociology of Religion , Margarita A. Mooney , The sociology of religion asks questions about what people believe  how religion is organized  and how religion affects various aspects of social life. Understanding religion's changing role in society  along with all of its diverse manifestations  represents the central purpose of this class. Along the way  we will explore religion from a variety of different vantage points within the social sciences  and consider the influence of religion in different areas of social life including the family  race  immigration  and politics. , SOC 211 , SA ,-1,SOC
NULL,Race and Ethnicity , Patricia Fernández-Kelly , Our goal in this course is (a) to understand various definitions of race and ethnicity from a theoretical perspective and in a plurality of contexts and (b) to account for the rise of ethnicity and race as political and cultural forces in the age of globalization. Why are ethnic and racial delimitations expanding in areas of the world where such distinctions were formerly muted? Is race and racial discrimination all the same regardless of geographical region? What are the main theories and methodologies now available for the study of race and ethnicity from a comparative point of view? These are among the questions our course aims to answer. , SOC 227 URB 227 , SA ,4.096666666666667,SOC
NULL,Claims and Evidence in Sociology , Adam M. Goldstein , This is a course on the logic and practice of social research. We explore how sociologists apply a specific approach of inquiry we call 'science' to explain social behavior. Students will learn to formulate tractable research questions and answer them using various combinations of theory  methods  and data. Topics include macro-comparative analysis  field experiments  text analysis  structured interviews  decomposition  simulation  and event studies. We will also grapple with conceptual issues including levels of analysis  causality  respondent reliability  model sensitivity  scope conditions  and inductive vs deductive modes of inquiry. , SOC 300 , SA ,3.933333333333333,SOC
NULL,Studying Local  Writing Ethnography , Staff , Students will be introduced to the practice of doing ethnographic fieldwork in the local community and to the reflective process of writing ethnography. Students will select a local field site within reach of their daily lives  engage in fieldwork and participant observation  write field notes  experiment with interpreting their data and discover their research question. In the readings and in class discussions we will talk about social explanation and interpretation  and focus on field notes and the process of writing ethnography. Field notes will be turned in weekly. A final paper based on field research is due at the end of the semester. , SOC 330 , SA ,-1,SOC
NULL,The Sociology of Social Movements in the United States , Staff , This discussion-based seminar introduces students to the basic concepts sociologists use to study social movements. Readings focus on social movements that have shaped US society and politics in the 20th and 21st century. We examine several cases of social movements that are relevant to today's America  with the goal of using the concepts we have gleaned from earlier readings to understand some of the clashing forces that are driving social change right now. , SOC 334 , SA ,-1,SOC
NULL,Sociology of the Cubicle: Work  Technology  and Organization , Janet A. Vertesi , What kinds of social forms do we organize ourselves into  what makes these forms endure  and where does change come from? In this course  we will explore classic and contemporary theories of organization with a special focus on technology in organizations. We'll discuss engineering cultures  skilled work  entrepreneurship  innovation  risk and failure in the context of such cases as the dot com boom  the rise of Silicon Valley  and the imprint of office technologies in the workplace. As companies pick up  produce  or respond to technological change  we'll witness and discuss some of the great questions and theories of social organization. , SOC 346 , SA ,4.376666666666666,SOC
NULL,Applied Social Statistics , Matthew J. Salganik , An introduction to basic concepts in probability and statistics with applications to social science research. We cover descriptive statistics  sampling distributions  statistical inference (including point estimation  confidence intervals and tests of hypotheses)  the comparison of two or more groups  linear regression  and designs for causal inference. Throughout the course we use the open-source statistical package R to illustrate and apply the techniques. The course is intended to prepare students to take Advanced Social Statistics the following term. , SOC 400 , QR ,4.335,SOC
NULL,Simulating Social Processes: An Introduction to Agent Based Modeling , Staff , This course introduces students to the study of social processes using agent based models (ABMs)--computer simulations in which agents interact and generate social outcomes such as norms  culture  and inequality. In the first part of the course  we will discuss the theoretical foundations of ABMs  how to design models that explore empirical questions  and practice generating  visualizing  and analyzing results. The second part will focus on ABM applications in the social sciences and their substantive implications. Students will be encouraged to develop a critical appreciation of ABMs  and will produce their own model for the final project. , SOC 411 , SA ,-1,SOC
NULL,Applied Social Statistics , Matthew J. Salganik , An introduction to basic concepts in probability and statistics with applications to social research. We cover descriptive statistics  sampling distributions  statistical inference for means and proportions (including point estimation  confidence intervals and tests of hypotheses)  the comparison of two or more groups  and an introduction to analysis of variance and linear regression. Throughout the course we use the open-source statistical package R to illustrate and apply the techniques. The course is intended to prepare students to take Advanced Social Statistics the following term. , SOC 500 ,,-1,SOC
NULL,Classical Sociological Theory , Kim Lane Scheppele , Sociology as a discipline was not institutionalized until the early 20th century  but sociological thinking predates the discipline by at least a century. In this course  we will examine the development of social thought through the writings of sociology's founders as they developed the idea of the social and its relationship to the development of the individual and to economic and political transformation. While the course will linger on Marx  Weber  Durkheim and Simmel  it will also explore their intellectual contexts  their interlocutors and their legacies up through the middle of the 20th century. , SOC 501 ,,-1,SOC
NULL,Contemporary Sociological Theory , Ellis P. Monk , The aim of this course is to familiarize students with work in contemporary sociological theory that has had a major impact on empirical research in the U.S.  or holds untapped potential for such impact. We focus especially on bodies of theory relevant to large tracts of the discipline. Rather than attempt a survey  we read in depth select theoretical texts that together illustrate the heterogeneity and richness of the field. , SOC 502 ,,-1,SOC
NULL,Techniques and Methods of Social Science , Dalton Conley , This seminar has three objectives: 1) to introduce students to different social science research methods (including survey research  experiments  ethnography  historical and comparative analysis  text analysis) and to provide them with an understanding of the strengths and weaknesses of various approaches; 2) to introduce students to the types of research Princeton faculty members are currently engaged in; and 3) to familiarize students with the components of a strong empirical paper and to prepare them to identify a topic and data for their empirical paper. , SOC 503 ,,-1,SOC
NULL,Advanced Social Statistics , Brandon M. Stewart , Introduces theories of inference underlying most statistical methods and how new approaches are developed. The first half of the course covers maximum likelihood estimation and generalized linear models. The second half covers a number of topics useful for applied work including missing data  matching for causal inference and  others. The course concludes with a project replicating and extending a piece of work in the scholarly literature. , SOC 504 ,,-1,SOC
NULL,Research Seminar in Empirical Investigation , Dalton Conley , Preparation of quantitative research papers based on field experiments  laboratory experiments  survey procedures  and secondary analysis of existing data banks. , SOC 505 ,,-1,SOC
NULL,Research Ethics & Scientific Integrity (Half-Term) , Elizabeth M. Armstrong , This course is concerned with the professional obligations of social science researchers. Topics covered include teaching and mentoring relationships  human subjects protections  professional codes of ethics  data management  peer review  collaboration  scientific misconduct (fraud  fabrication and plagiarism)  conflicts of interest  and scientific agenda-setting. The course is intended for graduate students in Sociology and the Office of Population Research. , SOC 506 POP 506 ,,-1,SOC
NULL,Proseminar , Mitchell Duneier , This course introduces sociology graduate students to the discipline of sociology and to departmental faculty. Student work is evaluated by class participation and attendance. There are no prerequisites. , SOC 508 ,,-1,SOC
NULL,Religion and Public Life , Robert J. Wuthnow , Presentation and critical discussion of empirical research in progress by participants. Focuses on the use of social science methods in the study of religion and on applications of recently published work about religion and society. Includes an emphasis on religion and public policy in the U.S. and in comparative perspective. , SOC 527 ,,-1,SOC
NULL,Topics in Economic and Organizational Sociology (Half-Term) - Gender and Economic Activity , Viviana A. Zelizer , Introduction to a gendered analysis of economic processes and institutions. Course investigates when  why  and in what ways gender shapes production  consumption  distribution  and transfer of assets. After a general discussion of gender theories  it surveys how gender works in a variety of settings and activities  such as labor markets  intimate economies  and caring labor. We end with an overview of strategies aimed at reducing gendered economic inequalities. Overall  the course attempts to strengthen intellectual bridges between economic sociology and gender scholarship. , SOC 540 ,,-1,SOC
NULL,Economic Sociology (Half-Term) , Alejandro Portes , An introduction to economic sociology seen not as a subordination of sociology to economics but as the sociological explanation of economic phenomena. It focuses on alternative accounts of phenomena that most specialists have explained using economic concepts and theory. In particular  it seeks sociological explanations of production  consumption  and distribution  and transfer of assets. After a general orientation to economic sociology as a whole  the course explores economic activities in an unconventionally wide range of settings including households  informal sectors  gift economies  and consumption. , SOC 541 ,,-1,SOC
NULL,Workshop on Social Organization , Paul E. Starr , A two-semester course for graduate students whose work lies in the fields of economic sociology  organizational sociology  institutional analysis (including historical institutionalism)  and social network analysis. The workshop provides opportunities for students to develop research projects and presentation skills  and to read the work of and interact with scholars brought to campus by the Center for the Study of Social Organization. , SOC 549 ,,-1,SOC
NULL,Organizational Ethnography (Half-Term) , Janet A. Vertesi , How can ethnography help us to understand analyze  and critique organizations? This course delves deeply into classic and contemporary examples of organizational ethnography  inquiring into their findings  methods and implications. How do these studies suggest we approach ethnographic work in the firm  the collective  or on the shop floor? What is the role of formal structures and informal cultures  how are power and identity practiced in the organization  and what are the implications for human action? Our goal is to generate a rich qualitative understanding of how and why to study organizations and their role in social life. , SOC 559 ,,-1,SOC
NULL,Beginner's Spanish I ," Adriana G. Merino,   Anais Holgado-Lage   Daniela C. Salcedo Arnaiz   Le Anne L. Spino-Seijas ", SPA 101 presents the basic structures and vocabulary of the Spanish language. The four skills (listening  speaking  reading and writing) are practiced and developed by means of classroom activities and materials in which language appears in a cultural context. Classes are conducted in Spanish. No credit is given for SPA 101 unless followed by SPA 102. , SPA 101 ,,4.156666666666666,SPA
NULL,Intensive Beginner's and Intermediate Spanish ," Andrea Faber,   Dunia Catalina Méndez Vallejo   Jovana Zujevic ", SPA 103 is an intensive course that covers the most relevant structures and vocabulary from SPA 101 and SPA 102 in one term. Designed for students who have previously studied Spanish at elementary levels. Language is presented in a cultural context in order to develop the skills of listening  speaking  reading and writing. , SPA 103 ,,3.7566666666666664,SPA
NULL,Intermediate Spanish ," Nadia Cervantes Pérez, Course Head   Gorka Bilbao Terreros   Luis Gonçalves   Paloma Moscardó-Vallés ", An intermediate language course that focuses on oral and written communication and the consolidation of listening and reading skills. In this course students will enhance their linguistic skills through the analysis and discussion of various types of texts (literature  film  visual culture  music  interviews  etc.) that focus on global and cross-cultural aspects of Spain and Latin America. In particular  the course will familiarize students with the concept of neocolonialism as a way to bridge language learning with the context in which cultural values and meanings are produced. SPA 105 prepares students for SPA 108. , SPA 105 ,,4.145,SPA
NULL,Intermediate/Advanced Spanish ," Anais Holgado-Lage,   Jeannie Byrne   Luis Gonçalves   Manuel Malia   Perla Masi ", An intermediate/advanced language course that consolidates and expands the skills acquired in beginner's Spanish. Students will continue to develop their ability to comprehend and communicate in Spanish while using the four basic skills: listening  speaking  reading  and writing. The course's linguistic goals are achieved in the context of examining the history  cultural production  practices  language  and current reality of the U.S. Latino community. Materials include oral  written and audiovisual texts. By the end of the course  students will be able to express more complex ideas  orally and in writing  with greater grammatical accuracy. , SPA 107 ,,3.8616666666666664,SPA
NULL,Advanced Spanish ," Monserrat Bores Martinez, ", SPA 108 develops fluency and accuracy in speaking and writing by focusing on functional language in context. It aims to strengthen and consolidate comprehension and production of oral and written Spanish with an emphasis on cultural awareness and cross-cultural communication. Through a series of current and thought-provoking texts  images  films  paintings  and related activities  this course enhances linguistic proficiency and language performance while reflecting on important aspects of the history  art  society  language and cultural identity of two of the largest Spanish-speaking urban communities: Mexico City and Los Angeles. , SPA 108 ,,4.236666666666667,SPA
NULL,Medical Spanish , Paloma Moscardó-Vallés , An advanced Spanish-language course that focuses on medical and health-related topics. Its main goal is to provide students with the tools to be able to interact with native-Spanish speakers in health settings. Students will improve their general communication skills and learn specific vocabulary needed for conducting a medical interview. Aspects of Latino culture in the health and medical fields are explored by means of examining authentic texts and through the contribution of guest speakers. The course includes a project in which students will interact with the local Latino community. , SPA 205 ,,4.593333333333333,SPA
NULL,Studies in Spanish Language and Style ," Mariana Bono, ", An advanced language course designed to increase students' fluency and accuracy in Spanish with an integrated approach to content: classes and assignments draw on various types of texts (literature  film  visual media) that focus on Madrid and Buenos Aires. Students hone their linguistic skills by engaging in discussions about the urban environment  and its cultural and artistic productions. The course aims to raise intercultural awareness and to explore the contexts in which cultural values and meanings are created. Reading and writing assignments cover different genres  and verbal interaction and personal production are actively encouraged. , SPA 207 ,,3.698333333333334,SPA
NULL,Spanish Language and Culture through Cinema ," Gorka Bilbao Terreros,   Nadia Cervantes Pérez ", A course designed to improve speaking abilities while learning about Hispanic cultures and cinema in context. The course aims to provide the students with lexical and grammatical tools to allow them to engage in formal and informal discussion on a variety of topics informed by the films provided. Additionally  there will be several writing exercises throughout the semester that will help students improve their writing abilities. By the end of the course  students should have a better command of all linguistic skills  especially listening comprehension  fluency and accuracy in their speech. , SPA 209 ,,4.408333333333333,SPA
NULL,Introduction to Spanish-English Translation , Sylvia Zetterstrand , This course offers an introduction to translation practice for the Spanish-English language pair  focusing primarily on the task of translating from Spanish into English. The course is conducted in Spanish and follows a communicative approach to translation  with a good balance between theory and praxis. Materials are drawn from a range of disciplines  such as humanities  social sciences  popular culture  and the media. Students are encouraged to think critically and creatively about language  and will heighten their awareness of the linguistic  textual and cultural differences between English and Spanish. , SPA 210 TRA 210 , LA ,3.795,SPA
NULL,Hispanic Studies: Introduction to Cultural Analysis , Manuel-Angel G. Loureiro , An introduction to the analysis of contemporary cultural texts (narrative  poetry  film  photography) from Latin America and Spain  with the support of various theoretical ideas. The course's main objective is to provide students with a set of strong conceptual  analytical and linguistic skills  which will be of great help in 300-level literature/culture courses. , SPA 224 LAS 224 , LA ,4.836666666666667,SPA
NULL,Contemporary Issues in Spain , Germán Labrador Méndez , What is happening in Spain today? How did culture  society and politics get affected by the 2008 financial turmoil and by the European debt crisis? Using films and documentaries (and various materials: newspaper articles  YouTube clips  graffiti  etc)  we will study topics such as urban struggles  social movements  global crisis  historical memory  emigration  multiculturalism  gender identities  urban cultures  collective fictions and digital cultures. Those who are planning to apply for the Princeton-in-Spain program and/or pursue a certificate in Spanish or concentration in the Department will find this course to be a fantastic passport. , SPA 227 EPS 227 URB 237 , LA ,4.428333333333333,SPA
NULL,Of Shipwreck and Other Disasters , Nicole D. Legnani , Flotsam. Jetsam. Hunger. Nudity. Lone survivors washed ashore. What can tales of shipwreck tell us about the cultures  societies and technologies that produce them? We read narratives and watch films of disaster and survival from the sixteenth century to the present  with an eye to how these texts can challenge or reinforce the myths that empires and nation-states tell about themselves and others. , SPA 235 LAS 235 , LA ,-1,SPA
NULL,Identity in the Hispanic World , Christina H. Lee , What does it mean to be Latin American? Hispanic? Spanish? Peruvian? Latina/o/x? How are national and alternate identities constructed and why? How are ideas of belonging to the body politic defined in Spain  Latin America  and in Spanish-speaking communities in the United States from within and without? Our course will engage this question by surveying and analyzing literary  historical  and visual productions from the time of the foundation of the Spanish empire to the present time. , SPA 250 LAS 250 , LA ,-1,SPA
NULL,Advanced Spanish Language and Style , Alberto Bruzos Moro   Sylvia Zetterstrand , SPA 307 is an advanced language course. Its main purpose is to develop and reinforce accuracy and fluency in both writing and speaking Spanish. Students will also learn to identify linguistic features that characterize different genres  as well as social and cultural factors that aid in the interpretation and understanding of different texts and types of speech. More specifically  the course aims at providing the tools for discourse analysis  raising awareness of the social and ideological values that permeate discursive practices  and developing autonomy and proficiency as an advanced learner of Spanish language. , SPA 307 , LA ,4.341666666666666,SPA
