LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
,Steven Rogers (William Burnside) (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,Dec-53,1953
,Space Phantom (Earth-616),,Black Eyes,Brown Hair,Male Characters,Living Characters,52,Nov-63,1963
,Tana Nile (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,52,Jun-66,1966
,Turk Barrett (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,52,Oct-70,1970
,Xandarian Worldmind (Earth-616),Good Characters,,,,Living Characters,52,Apr-77,1977
,Argon (Microverse) (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,52,Jan-79,1979
,Fabian Stankowicz (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,52,Mar-82,1982
,Masque (Morlock) (Earth-616),,Red Eyes,Bald,Male Characters,Living Characters,52,May-83,1983
,Manuel de la Rocha (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,52,Jun-84,1984
,Kodiak Noatak (Earth-616),Bad Characters,,Red Hair,Male Characters,Living Characters,52,Oct-86,1986
,Graydon Creed (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,52,Jan-93,1993
,Max Eisenhardt (Joseph) (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,52,Dec-95,1995
,Seward Trainer (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,52,Jan-95,1995
,Tex Dawson (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,51,Dec-54,1954
,Gunther Bain (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,51,Nov-64,1964
,Jeryn Hogarth (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,51,Aug-77,1977
,Robert Farrell (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,Sep-77,1977
,Maximillian Zaran (Earth-616),Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,51,Jun-79,1979
,Chons (Earth-616),Neutral Characters,Variable Eyes,,Male Characters,Living Characters,51,Nov-80,1980
,Mikhail Ursus (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,51,Apr-81,1981
,Joshua Guthrie (Earth-616),Good Characters,Green Eyes,Red Hair,Male Characters,Deceased Characters,51,Nov-84,1984
,Antonio Rodriguez (Earth-616),Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters,51,Aug-85,1985
,Jack Hammer (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,Aug-93,1993
,Neal Shaara (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,51,May-00,2000
,"John Jonah Jameson, Sr. (Earth-616)",Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,51,9-Jan,2009
,Terry Vance (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,50,Aug-40,1940
,Aphrodite Ourania (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,50,Aug-48,1948
,M-11 (Earth-616),Good Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,50,May-54,1954
,Sir Percy of Scandia (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,50,May-55,1955
,Deborah Harris (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,50,Oct-65,1965
,Llyra Morris (Earth-616),Bad Characters,Green Eyes,Green Hair,Female Characters,Living Characters,50,Dec-70,1970
,Robert Kelly (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,50,May-80,1980
,Susan Austin (Earth-616),Good Characters,,Strawberry Blond Hair,Female Characters,Living Characters,50,Jun-88,1988
,Amelia Voght (Earth-616),Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,50,May-93,1993
,Marshall Stone III (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Living Characters,50,Mar-93,1993
,Alexei Kravinoff (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,50,Feb-97,1997
,Guy Smith (Earth-616),Good Characters,Purple Eyes,White Hair,Male Characters,Deceased Characters,50,1-Aug,2001
,Tike Alicar (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,50,1-Jul,2001
,Eden Fesi (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,50,9-Jul,2009
,Raymond Dawson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,Sep-40,1940
,Henry Tinkelbaum (Earth-616),Good Characters,,Blond Hair,Male Characters,Deceased Characters,49,Jun-41,1941
,Cookie Novak (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,49,Nov-51,1951
,Hank Kelly (Earth-616),Good Characters,,Red Hair,,Living Characters,49,Nov-51,1951
,Robert Rider (Earth-616),,,Brown Hair,Male Characters,Living Characters,49,Sep-76,1976
,Tania Belinskaya (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,49,May-76,1976
,William Nasland (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,49,Mar-77,1977
,Roger Bochs (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,49,Aug-83,1983
,Marcus Stone (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,Jun-89,1989
,Deidre Wentworth (Earth-616),Bad Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,49,Jul-91,1991
,Fabian Cortez (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,49,Oct-91,1991
,Sharra Neramani (Earth-616),,Yellow Eyes,Purple Hair,Female Characters,Deceased Characters,49,Jun-93,1993
,Rumiko Fujikawa (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,49,May-98,1998
,Gabriel Cohuelo (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,10-Oct,2010
,Phillip Coulson (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,49,12-Jan,2012
,Christopher Muse (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,49,13-Jan,2013
,Doctor Watson (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,48,Aug-40,1940
,Abraham Erskine (Earth-616),,Brown Eyes,Black Hair,Male Characters,Deceased Characters,48,Mar-41,1941
,Umar (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters,48,Nov-66,1966
,Satannish (Earth-616),Bad Characters,Multiple Eyes,,Male Characters,Deceased Characters,48,Nov-68,1968
,Sha Shan (Earth-616),Good Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,48,May-72,1972
,Blood Brothers (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,48,Feb-73,1973
,Nekra Sinclair (Earth-616),Bad Characters,Black Eyes,Black Hair,Female Characters,Deceased Characters,48,Aug-73,1973
,Abraham Brown (Earth-616),,Brown Eyes,Black Hair,Male Characters,Living Characters,48,Apr-74,1974
,Mamie Muggins (Earth-616),,,Grey Hair,Female Characters,Living Characters,48,Dec-74,1974
,In-Betweener (Earth-616),Neutral Characters,Black Eyes,No Hair,Male Characters,Living Characters,48,Oct-75,1975
,Eric Payne (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,48,Apr-77,1977
,Mentor (Imperial Guard) (Earth-616),Neutral Characters,White Eyes,No Hair,Male Characters,Living Characters,48,Oct-77,1977
,Starbolt (Earth-616),Neutral Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters,48,Oct-77,1977
,Manta (Earth-616),Neutral Characters,White Eyes,No Hair,Female Characters,Living Characters,48,Sep-80,1980
,Lorelei (Asgardian) (Earth-616),Bad Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,48,Nov-83,1983
,Grace Powell (Earth-616),Good Characters,,Red Hair,Female Characters,Living Characters,48,Mar-91,1991
,Rick Sheridan (Earth-616),Good Characters,Brown Eyes,Light Brown Hair,Male Characters,Living Characters,48,Jun-91,1991
,Frances Barrison (Earth-616),Bad Characters,Blue Eyes,Blue Hair,Female Characters,Living Characters,48,May-93,1993
,Shirley Washington (Earth-616),,Brown Eyes,Black Hair,Female Characters,Living Characters,48,Jan-96,1996
,Tsu-Zana (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,48,Nov-96,1996
,Richard Gilmore (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,48,Sep-98,1998
,Tarene (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,48,Apr-00,2000
,Melati Kusuma (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,48,7-May,2007
,Jonas Graymalkin (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,48,8-Jun,2008
,Thakorr (Earth-616),Bad Characters,,No Hair,Male Characters,Deceased Characters,48,,
,Ulysses Bloodstone (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,47,Feb-60,1960
,Jack Pulver (Earth-616),,Blue Eyes,Brown Hair,Male Characters,Living Characters,47,Sep-62,1962
,Maxwell Markham (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,47,Dec-74,1974
,Baron Karza (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,47,Jan-79,1979
,Lindsay McCabe (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,47,May-79,1979
,Colin Hume (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,47,Aug-90,1990
,Jason Powell (Earth-616),Neutral Characters,,,Male Characters,Living Characters,47,Mar-91,1991
,Martha Johansson (Earth-616),Good Characters,,No Hair,Female Characters,Living Characters,47,1-Nov,2001
,Regan Wyngarde (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,47,1-Dec,2001
,Michael Pointer (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,47,6-Apr,2006
,Jerry Sledge (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,47,8-Jul,2008
,John Grey (Earth-616),Good Characters,,Grey Hair,Male Characters,Deceased Characters,46,May-64,1964
,Jonathan Murdock (Earth-616),Good Characters,,,Male Characters,Deceased Characters,46,Apr-64,1964
,Nicholas Bromwell (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,46,Feb-64,1964
,Edgar Plunder (Earth-616),Bad Characters,Black Eyes,Grey Hair,Male Characters,Living Characters,46,Jan-66,1966
,Vanessa Fisk (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,46,Mar-69,1969
,Lissa Russell (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,46,Feb-72,1972
,Wundarr (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,46,Oct-73,1973
,Bertrand Crawley (Earth-616),,,White Hair,Male Characters,Living Characters,46,Jun-76,1976
,Beverly Switzler (Earth-616),Good Characters,,Red Hair,Female Characters,Living Characters,46,Jan-76,1976
,Stephanie Hunter (Earth-616),Good Characters,Black Eyes,Black Hair,Female Characters,Living Characters,46,Nov-80,1980
,Rachel Carpenter (Earth-616),Good Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,46,Jan-87,1987
,Francis Ketch (Earth-616),Good Characters,,Brown Hair,Female Characters,Living Characters,46,May-90,1990
,Jonathan Powell (Earth-616),Neutral Characters,,,Male Characters,Living Characters,46,Mar-91,1991
,Cerise (Earth-616),Good Characters,Violet Eyes,Black Hair,Female Characters,Living Characters,46,Jan-92,1992
,Jake Olson (Duplicate) (Earth-616),Good Characters,,Blond Hair,Male Characters,Deceased Characters,46,Aug-98,1998
,Myles Alfred (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,46,1-Aug,2001
,Gertrude Yorkes (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,46,3-Jul,2003
,Alexander Aaron (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,46,6-Mar,2006
,Kubark (Earth-616),Good Characters,Red Eyes,Red Hair,Male Characters,Living Characters,46,11-Dec,2011
,Elihas Starr (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,45,Dec-62,1962
,James Wilson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,45,Sep-70,1970
,Claire Temple (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,45,Aug-72,1972
,Eon (Earth-616),,Red Eyes,Brown Hair,,Living Characters,45,Sep-73,1973
,Stuart Clarke (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,45,Apr-76,1976
,Malekith (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,45,Jun-84,1984
,Oswald Silkworth (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,45,Feb-84,1984
,Jesse Aaronson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,45,Oct-98,1998
,Miranda Leevald (Earth-616),Neutral Characters,Green Eyes,Black Hair,Female Characters,Living Characters,45,1-Dec,2001
,Angela del Toro (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,45,3-Feb,2003
,Laurie Collins (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,45,3-Aug,2003
,Gabriel Summers (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,45,6-Jan,2006
,Miek (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters,45,6-Apr,2006
,Joseph Green (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,45,7-May,2007
,Maki Matsumoto (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,45,8-Nov,2008
,Mark Todd (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,44,Mar-41,1941
,Robert Baxter (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,44,Nov-44,1944
,Mordred (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,44,May-55,1955
,Alexander Gentry (Earth-616),Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,44,Oct-63,1963
,Idunn (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,44,Mar-65,1965
,Ahmet Abdol (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,44,Mar-69,1969
,Jackson Norriss (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,44,Apr-70,1970
,Rafael Scarfe (Earth-616),,,Brown Hair,Male Characters,Living Characters,44,Aug-75,1975
,Arishem (Earth-616),Neutral Characters,,No Hair,Male Characters,Living Characters,44,Aug-76,1976
,John Falsworth (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,44,Jul-76,1976
,Eshu (Earth-616),Bad Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,44,Sep-83,1983
,Erg (Earth-616),Neutral Characters,One Eye,Black Hair,Male Characters,Living Characters,44,Jul-85,1985
,James Bourne (Earth-616),Neutral Characters,Brown Eyes,,Male Characters,Living Characters,44,Oct-86,1986
,Abraham Zimmer (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,44,Jun-87,1987
,Laura Dean (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,44,Jul-87,1987
,Whitman Knapp (Earth-616),,,Strawberry Blond Hair,Male Characters,Living Characters,44,Feb-87,1987
,Christopher Bradley (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,44,Oct-95,1995
,Blind Al (Althea) (Earth-616),Good Characters,,White Hair,Female Characters,Living Characters,44,Jan-97,1997
,Void (Dark Sentry) (Earth-616),Bad Characters,Orange Eyes,Black Hair,Male Characters,Deceased Characters,44,Sep-00,2000
,Brightwind (Earth-616),,Red Eyes,Black Hair,Male Characters,Living Characters,44,,
,Red Raven (Liberty Legion) (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,43,Aug-40,1940
,Roger Aubrey (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Living Characters,43,Mar-43,1943
,Elaine Grey (Earth-616),Good Characters,Blue Eyes,Grey Hair,Female Characters,Deceased Characters,43,May-64,1964
,Milos Masaryk (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,43,Aug-64,1964
,Vera Cantor (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,43,Apr-66,1966
,Noah Black (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,43,Jul-68,1968
,Charles Barton (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,43,May-69,1969
,Howard Stark (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,43,Aug-70,1970
,Martine Bancroft (Earth-616),,Red Eyes,Blond Hair,Female Characters,Deceased Characters,43,Nov-71,1971
,Hildegarde (Earth-616),Good Characters,,Blond Hair,Female Characters,Living Characters,43,Jan-72,1972
,Lincoln Slade (Earth-616),Good Characters,,,Male Characters,Deceased Characters,43,Jan-72,1972
,Richard Rory (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Living Characters,43,Feb-74,1974
,Wilhelm Lohmer (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Living Characters,43,Jun-75,1975
,Jackson Day (Earth-616),Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,43,Dec-76,1976
,Thursday Rubinstein (Earth-616),Bad Characters,,No Hair,Female Characters,Living Characters,43,Feb-76,1976
,Slug (Microverse) (Earth-616),Good Characters,,Black Hair,Female Characters,Deceased Characters,43,Apr-79,1979
,Belasco (Earth-616),Bad Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,43,Feb-82,1982
,Edward Lavell (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,43,Apr-83,1983
,Frank Simpson (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,43,Jul-86,1986
,Silas Burr (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,43,Sep-91,1991
,Carolyn Trainer (Earth-616),Bad Characters,,Pink Hair,Female Characters,Living Characters,43,Sep-95,1995
,Carlos LaMuerto (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,43,Jan-97,1997
,Milla Donovan (Earth-616),Good Characters,White Eyes,Black Hair,Female Characters,Living Characters,43,3-Mar,2003
,Tomi Shishido (Earth-616),Bad Characters,Green Eyes,Black Hair,Male Characters,Living Characters,43,4-Dec,2004
,Samuel Alexander (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,43,12-Jan,2012
,Leila Taylor (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,42,Aug-71,1971
,Buck Cowan (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,42,Jun-72,1972
,Katerina van Horn (Earth-616),,Blue Eyes,Red Hair,Female Characters,Living Characters,42,Apr-73,1973
,Lei-Kung (Earth-616),Good Characters,Black Eyes,Bald,Male Characters,Living Characters,42,Jul-74,1974
,Lilith Drake (Earth-616),Neutral Characters,Red Eyes,Black Hair,Female Characters,Living Characters,42,Jun-74,1974
,Gwendolyne Stacy (Clone) (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,42,Mar-75,1975
,Grannz (Earth-616),Neutral Characters,Orange Eyes,Orange Hair,Male Characters,Living Characters,42,Oct-77,1977
,Lord Chaos (Earth-616),Good Characters,,No Hair,,Living Characters,42,Dec-77,1977
,Andromeda Attumasen (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,42,May-85,1985
,Blackheart (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,42,Sep-89,1989
,Pantu Hurageb (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,42,Feb-90,1990
,Walter Charles (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,42,Apr-90,1990
,Doreen Green (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,42,Dec-91,1991
,Peter Hunter (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,42,Feb-91,1991
,Algernon Crowe (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,42,Jul-92,1992
,Justine Hammer (Earth-616),Bad Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,42,Jun-97,1997
,Johnathon Gallo (Earth-616),Good Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,42,Sep-98,1998
,Maria de Guadalupe Santiago (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,42,Sep-98,1998
,Elsa Bloodstone (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,42,1-Dec,2001
,Thor Odinson (Ragnarok) (Earth-616),Neutral Characters,Red Eyes,Bald,Male Characters,Living Characters,42,6-Sep,2006
,Roger Brokeridge (Earth-616),Neutral Characters,Green Eyes,Blond Hair,Male Characters,Living Characters,42,7-May,2007
,Phineas Horton (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,41,Oct-39,1939
,Marie Lathrop (Earth-616),Good Characters,,Blond Hair,Female Characters,Living Characters,41,Dec-48,1948
,Byrrah (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,41,Aug-54,1954
,Orka (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Deceased Characters,41,Mar-70,1970
,Grom (Earth-616),Neutral Characters,Black Eyes,Red Hair,Male Characters,Living Characters,41,Aug-71,1971
,Noah Burstein (Earth-616),Good Characters,,,Male Characters,Living Characters,41,Jun-72,1972
,Lin Sun (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,41,Apr-74,1974
,Daniel Berkhart (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,41,Feb-75,1975
,Ransak (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,41,Feb-77,1977
,Simon Maddicks (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,41,Jan-77,1977
,Iann-23 (Earth-616),Good Characters,Blue Eyes,No Hair,Male Characters,Living Characters,41,Jan-82,1982
,Obadiah Stane (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,41,Oct-82,1982
,Martin Preston (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,41,Jan-86,1986
,Nick Katzenberg (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,41,May-89,1989
,Richard Parker (Simulcrum) (Earth-616),,,,Male Characters,Deceased Characters,41,Jun-92,1992
,Century (Alien) (Earth-616),Good Characters,White Eyes,White Hair,Male Characters,Living Characters,41,Jul-94,1994
,Charles Burlingame (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,41,Oct-98,1998
,Kuan-Yin Xorn (Earth-616),Bad Characters,,,Male Characters,Deceased Characters,41,1-Sep,2001
,Juston Seyfert (Earth-616),Good Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,41,3-Jun,2003
,Sally Floyd (Earth-616),,Brown Eyes,Black Hair,Female Characters,Living Characters,41,6-Jan,2006
,Gunna Sijurvald (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,41,10-Aug,2010
,Geoffrey Vandergill (Earth-616),Good Characters,,Blond Hair,Male Characters,Deceased Characters,40,Jun-41,1941
,Washington Jones (Earth-616),Good Characters,,White Hair,Male Characters,Deceased Characters,40,Jun-41,1941
,Phoebus Apollo (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,40,Aug-48,1948
,Leopold Stryke (Earth-616),Bad Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,40,Sep-63,1963
,Raymond Bloch (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,40,Mar-64,1964
,Mendel Stromm (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,40,Jun-66,1966
,Recorder 211 (Earth-616),Neutral Characters,,Bald,Male Characters,Living Characters,40,Sep-66,1966
,Yon-Rogg (Earth-616),Bad Characters,,Brown Hair,Male Characters,Living Characters,40,Dec-67,1967
,Barbarus (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,40,Nov-69,1969
,Zarathos (Earth-616),Neutral Characters,Blue Eyes,No Hair,Male Characters,Living Characters,40,Aug-72,1972
,Ajak (Earth-616),,Grey Eyes,Black Hair,Male Characters,Living Characters,40,Aug-76,1976
,Araki (Earth-616),Neutral Characters,Gold Eyes,White Hair,Female Characters,Deceased Characters,40,Feb-78,1978
,Munin (Earth-616),Good Characters,Black Eyes,,Male Characters,Living Characters,40,Aug-78,1978
,Sybil Dvorak (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,40,Jan-79,1979
,Daniel Leighton (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,40,Jan-80,1980
,Johnathon Ohnn (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,40,Jan-85,1985
,Andrew Chord (Earth-616),,Brown Eyes,Bald,Male Characters,Living Characters,40,Dec-89,1989
,Demogoblin (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Deceased Characters,40,Feb-89,1989
,Julius Mullarkey (Earth-616),Good Characters,Red Eyes,Red Hair,Male Characters,Deceased Characters,40,Jun-92,1992
,Kiskillilla (Earth-616),Bad Characters,Yellow Eyes,Black Hair,Female Characters,Deceased Characters,40,Aug-92,1992
,Sarah Ryall (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,40,Dec-92,1992
,Shevaun Haldane (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,40,Jul-92,1992
,Steven Harmon (Earth-616),Good Characters,Blue Eyes,Purple Hair,Male Characters,Living Characters,40,Nov-92,1992
,Scrier (Earth-616),Neutral Characters,Black Eyes,No Hair,Male Characters,Living Characters,40,Oct-94,1994
,James Santini (Earth-616),Good Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,40,Oct-95,1995
,Janice Yanizeski (Earth-616),Neutral Characters,Hazel Eyes,Blond Hair,Female Characters,Living Characters,40,Dec-95,1995
,Paul Stacy (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,40,Mar-97,1997
,Dead Girl (Moonbeam) (Earth-616),Good Characters,Red Eyes,Black Hair,Female Characters,Deceased Characters,40,2-Apr,2002
,Abigail Boylen (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,40,7-May,2007
,Sajani Jaffrey (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,40,11-Jan,2011
